#,Moneda,Precio,1 h,24 h,7 d,Volumen en 24 h,Cap. de mercado,FDV,Cap merc/FDV
949,HUSD HUSD,"$0,052137207109",0.1%,-0.7%,-0.9%,"$587,05",$9.790.016,$9.790.016,100
950,Bitcoin Pro BTCP,"$74,58",0.0%,7.9%,77.2%,"$7.832,53",$9.619.095,$156.568.590,6
951,Nimiq NIM,"$0,000867934562",0.0%,-3.1%,-5.1%,"$46.071,98",$9.579.944,$18.237.648,53
952,Xbit XBT,"$0,011071057045",-0.4%,-0.4%,-0.2%,$6.551.305,$9.553.682,$11.070.315,86
953,Prizm PZM,"$0,002747544854",0.0%,3.6%,1.5%,"$4.308,31",$9.549.421,$16.485.552,58
954,WXT Token WXT,"$0,004143917931",0.8%,1.3%,6.5%,145.39,$9.540.561,$41.471.686,23
955,Sovryn SOV,"$0,303308",0.2%,0.7%,-15.7%,"$69.235,55",$9.521.600,$30.341.372,31
956,Galactic Quadrant GQ,"$0,002202334597",1.0%,-3.8%,-22.0%,$1.806.289,$9.519.551,$21.860.033,44
957,STEPN Green Satoshi Token on Solana GST-SOL,"$0,011786004472",-0.2%,-2.8%,-2.4%,179.94,$9.491.884,$9.609.998,99
958,Scallop SCLP,"$0,145493",-0.9%,-1.2%,-2.0%,$1.456.058,$9.394.215,$14.524.977,65
959,pSTAKE Finance PSTAKE,"$0,033908100153",0.6%,0.0%,-1.5%,695.88,$9.369.239,$16.966.428,55
960,Nash NEX,"$0,232595",0.9%,7.9%,4.4%,"$2.753,16",$9.342.775,$11.773.993,79
961,Witnet WIT,"$0,007579039738",-0.1%,-2.0%,-9.1%,302.20,$9.335.255,$18.951.204,49
962,Clearpool CPOOL,"$0,021749923601",-0.4%,2.6%,-9.7%,368.84,$9.322.569,$21.797.781,43
963,Turbo TURBO,"$0,000134267818",1.4%,1.7%,18.6%,$1.464.018,$9.292.070,$9.292.070,100
964,Validity VAL,"$1,91",1.3%,4.6%,0.1%,$1.520.181,$9.265.120,$16.995.742,55
965,CHEQD Network CHEQ,"$0,030878955395",-1.7%,-3.8%,-3.3%,167.56,$9.253.759,$33.801.761,27
966,PIP PIP,"$0,086672233505",0.0%,-3.2%,-5.9%,316.29,$9.251.021,$86.858.952,11
967,FibSwap DEX FIBO,"$0,002985532309",-1.1%,-8.0%,-8.5%,"$2.146,49",$9.179.048,$10.198.943,90
968,Counterparty XCP,"$3,53",0.0%,18.4%,23.2%,"$71.079,59",$9.149.910,$9.344.961,98
969,SquidGrow SQUIDGROW,"$0,000000009623",-0.1%,-4.2%,7.0%,823.76,$9.130.888,$9.673.675,94
970,ZKSpace ZKS,"$0,040804446811",0.1%,1.7%,-4.4%,500.18,$9.122.014,$40.823.511,22
971,Pallapay PALLA,"$0,011984820698",-,-,-,-,$9.096.689,$23.969.641,-
972,Push Protocol PUSH,"$0,219035",-0.8%,-2.7%,-1.5%,312.83,$9.082.901,$21.905.935,41
973,TRAC (Ordinals) TRAC,"$0,427565",-1.1%,-9.9%,31.2%,113.81,$9.013.269,$9.013.269,100
974,KALM KALM,"$1,11",0.2%,1.5%,11.1%,"$31.842,49",$9.011.676,$11.103.998,81
975,Fulcrom FUL,"$0,008520135344",0.3%,3.4%,-0.9%,"$10.195,31",$9.007.719,$170.251.421,5
976,PodFast $FAST,"$0,088490379391",1.8%,-14.7%,558.3%,"$56.957,55",$8.972.364,$8.972.364,100
977,Mimo Governance MIMO,"$0,017081397777",0.2%,-0.7%,-19.2%,"$56.012,85",$8.764.903,$13.693.709,64
978,Handshake HNS,"$0,014472076061",-0.4%,5.3%,17.1%,"$36.498,60",$8.741.190,$29.540.091,30
979,AtPay ATPAY,"$0,290067",-0.2%,-3.6%,3.9%,"$51.938,58",$8.732.262,$87.322.624,10
980,Viberate VIB,"$0,047749931986",-0.6%,-1.8%,-3.8%,$2.683.216,$8.728.441,$9.562.068,91
981,CateCoin CATE,"$0,000000253412",0.0%,-0.6%,-0.8%,469.16,$8.710.198,$25.336.082,34
982,Unisocks SOCKS,"$29.044,61",-,-,-,-,$8.684.130,$8.684.130,-
983,MixMarvel MIX,"$0,001698381995",0.2%,6.2%,1.1%,499.91,$8.684.081,$16.885.015,51
984,Comtech Gold CGO,"$61,57",0.1%,0.0%,-1.2%,680.26,$8.679.673,$8.679.673,100
985,Bitrock BROCK,"$0,086861065496",-2.6%,-2.1%,50.2%,169.52,$8.672.267,$8.672.267,100
986,Symbiosis SIS,"$0,189559",0.2%,5.7%,8.9%,$3.666.783,$8.665.646,$18.968.835,46
987,Aventus AVT,"$0,919587",-0.8%,-1.7%,-2.7%,133.09,$8.656.325,$9.748.942,89
988,Obyte GBYTE,"$10,22",-2.0%,-1.0%,-1.1%,"$3.854,10",$8.620.034,$10.225.879,84
989,renBTC RENBTC,"$28.044,77",1.1%,-4.1%,-6.9%,"$143,58",$8.565.878,$8.565.878,100
990,Tomb Shares TSHARE,"$216,46",-1.1%,6.2%,22.5%,"$13.076,07",$8.552.558,$15.300.657,56
991,Jade Protocol JADE,"$9,02",-,-,-,-,$8.536.729,$9.229.956,-
992,Divi DIVI,"$0,002413771664",0.6%,-2.3%,-7.0%,216.35,$8.534.837,-,-
993,KRYLL KRL,"$0,233443",0.3%,0.2%,-2.4%,"$74.104,06",$8.523.553,$11.534.424,74
994,OAX OAX,"$0,153214",0.6%,1.7%,-0.3%,$2.313.376,$8.519.481,$15.271.098,56
995,Robo Inu Finance RBIF,"$0,000000000146",0.7%,-2.8%,9.4%,"$3.081,87",$8.459.058,$14.607.644,58
996,IMPT IMPT,"$0,006566649548",0.2%,-0.8%,10.1%,$1.598.427,$8.453.407,$19.703.281,43
997,Prosper PROS,"$0,278011",-0.7%,-4.4%,-2.7%,$1.045.387,$8.450.081,$27.813.004,30
998,Grizzly Honey GHNY,"$6,82",0.0%,-1.4%,-4.7%,"$5.175,10",$8.419.248,$8.419.774,100
999,SIX Network SIX,"$0,030740626072",1.7%,16.9%,25.9%,$1.538.350,$8.419.150,$30.751.899,27
1000,Bitrue Coin BTR,"$0,030692004904",0.1%,-0.2%,-6.7%,$2.262.443,$8.409.523,$30.689.172,27
